"","codigoOC","FechaEnvioOC","NombreOC","DescripcionOC","EstadoOC","ProcedenciaOC","MonedaOC","MontoNetoOC","DescuentosOC","CargosOC","ImpuestosOC","MontoTotalOC","ImpuestosOC_CLP","MontoNetoOC_CLP","MetodoPago","TipoDespacho","Financiamiento","UnidadCompra","UnidadCompraRUT","RegionUnidadCompra","entCode","Institucion","Sector","Proveedor","ProveedorRUT","ActividadProveedor","TamanoProveedor","RegionProveedor","RubroN1","RubroN2","RubroN3","CodigoProductoONU","ONUProducto","NombreItem","DescripcionItem","CantidadItem","UnidadMedida","MonedaItem","MontoNetoItem","DescuentoItem","CargosItem","ImpuestoEspecificoItem","MontoTotalItem","MontoNetoItemCLP","CodigoCotizacion","NombreCotizacion","DescripcionCotizacion","FechaPublicacionCotizacion","FechaCierreCotizacion","MontoDisponible","DescripcionProducto","CodigoProductoCotizadoONU","ProductoCotizado","CantidadSolicitada","ProveedorCotizacion","RUTProveedorCotizacion","DetalleCotizacion","PrecioUnitarioCotizacion","PrecioTotalItemCotizacion","MontoNetoCotizacion","MontoDespachoCotizacion","MontoTotalCotizacion","ProveedorSeleccionado"
"204","1057402-7736-AG24","01-08-2024 0:00:00","(5074) ADQ. BROCAS PARA REPARACIONES. Compra ágil: 1057402-1086-COT24","De acuerdo a MMT093 de fecha 09-05-2024 de la Unidad de Mantenimiento, se requiere la adquisición de brocas para realizar trabajos de mantenimiento y reparaciones en areas generales.  Encargado de Recepción Productos: Encargado de Bodega General: fono: 612293366 - correo alex.garay@redsalud.gov.cl  Horarios de Recepción Productos:  Lunes a Jueves: 8:00 a 16:30 horas. Viernes: 8:00 a 15:30 horas.  Dirección: Av. Los Flamencos 01364, Punta Arenas, Región de Magallanes y Antartica Chilena, Hospital Clínico Magallanes.  Consultas sobre reclamo/rechazo de facturas: Jefe Gestión DTE:  correo: dtereclamados.hcm@redsalud.gob.cl  Encargado de Compra: Unidad de Compras Operaciones: fono 612293389","Recepcion Conforme","Compra Agil","CLP",248000,0,0,47120,295120,518320,248000,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","BENITO NICOLAS MARSAN LAGUNAS","15.905.508-6","SERVICIOS DE ARQUITECTURA Y TECNICO RELACIONADO| SERVICIOS PROFESIONALES DE TOPOGRAFIA Y AGRIMENSURA| OTROS SERVICIOS DESARROLLADOS POR PROFESIONALES| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.","4.0","Región de Magallanes y de la Antártica","Herramientas y maquinaria en general","Herramientas manuales","Accesorios para herramientas",27112801,"Brocas","Brocas","Set de brocas paleta de 8 a 32 MM",2,"Kit","CLP",4000,0,0,NA,8000,8000,"1057402-1086-COT24","(5074) Adquisición de brocas.","El Hospital requiere la adquisición de brocas para realizar reparaciones.   -FLETE A CARGO DEL PROVEEDOR PUESTO EN BODEGA DEL HOSPITAL.","25-07-2024 0:00:00","29-07-2024 0:00:00",3e+05,"Brocas para acero inoxidable HSS-E de 7 MM",27112801,"Brocas",10,"BENITO NICOLAS MARSAN LAGUNAS","15.905.508-6","Entrega en 10 dias",2000,20000,248000,0,295120,"SI"
"205","1057402-7750-AG24","30-07-2024 0:00:00","(5074) SUMINISTRO DE REPUESTOS PARA MANTENIMIENTO ASCENSORES. Compra ágil: 1057402-1063-COT24","De acuerdo a Solicitud de Compra N°239 de fecha 19-07-2024 de la Unidad de Control Centralizado, se requiere el suministro de repuestos y accesorios para el mantenimiento de ascensores  Encargado de Recepción Productos: Encargado de Bodega General: fono: 612293366 - correo alex.garay@redsalud.gov.cl  Horarios de Recepción Productos:  Lunes a Jueves: 8:00 a 16:30 horas. Viernes: 8:00 a 15:30 horas.  Dirección: Av. Los Flamencos 01364, Punta Arenas, Región de Magallanes y Antartica Chilena, Hospital Clínico Magallanes.  Consultas sobre reclamo/rechazo de facturas: Jefe Gestión DTE:  correo: dtereclamados.hcm@redsalud.gob.cl  Encargado de Compra: Unidad de Compras Operaciones: fono 612293389","Recepcion Conforme","Compra Agil","CLP",1127229,0,0,214173.51,1341402.51,856694.04,1127229,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","S P M INGENIERIA LIMITADA","77.695.880-8","REPARACION DE EQUIPO DE ELEVACION Y MANIPULACION| ACONDICIONAMIENTO DE EDIFICIOS| SERVICIOS DE INGENIERIA PRESTADOS POR EMPRESAS N.C.P.","4.0","Región de Magallanes y de la Antártica","Equipamiento para manejo y estiba de materiales","Maquinaria para manejo de materiales","Equipo de elevación",24101601,"Ascensores","Ascensores","SUMINISTRO DE SISTEMA DE ILUMINACIÓN CON LUZ LED PARA TABLEROS ELÉCTRICOS QUE CONECTA A LOS ASCENSORES N° 1-2-10-11-12-16-17",7,"Unidad","CLP",35912,0,0,NA,251384,251384,"1057402-1063-COT24","[5074] SUMINISTRO DE REPUESTOS PARA MANTENIMIENTO ASCENSORES OTIS HCM","LA UNIDAD DE CONTROL CENTRALIZADO REQUIERE LA ADQUISICIÓN DEL SUMINISTRO DE REPUESTOS PARA EL MANTENIMIENTO DE LOS ASCENSORES DEL HOSPITAL, LOS CUALES SON ESENCIALES PARA LA ACREDITACIÓN DEL HOSPITAL Y CERTIFICACIÓN DE LOS EQUIPOS.  LOS REPUESTOS SE REQUIEREN CON PLAZO DE ENTREGA MÁXIMO 2 DÍAS.","18-07-2024 0:00:00","19-07-2024 0:00:00",1500000,"SUMINISTRO BOTON DE PARADA PARA ASCENSOR 12",24101601,"Ascensores",1,"S P M INGENIERIA LIMITADA","77.695.880-8","Se adjuntan cotizaciones con detalle de los insumos considerados para la ejecución de los trabajos.",53200,53200,1127229,0,1341402,"SI"
"206","1057402-7750-AG24","30-07-2024 0:00:00","(5074) SUMINISTRO DE REPUESTOS PARA MANTENIMIENTO ASCENSORES. Compra ágil: 1057402-1063-COT24","De acuerdo a Solicitud de Compra N°239 de fecha 19-07-2024 de la Unidad de Control Centralizado, se requiere el suministro de repuestos y accesorios para el mantenimiento de ascensores  Encargado de Recepción Productos: Encargado de Bodega General: fono: 612293366 - correo alex.garay@redsalud.gov.cl  Horarios de Recepción Productos:  Lunes a Jueves: 8:00 a 16:30 horas. Viernes: 8:00 a 15:30 horas.  Dirección: Av. Los Flamencos 01364, Punta Arenas, Región de Magallanes y Antartica Chilena, Hospital Clínico Magallanes.  Consultas sobre reclamo/rechazo de facturas: Jefe Gestión DTE:  correo: dtereclamados.hcm@redsalud.gob.cl  Encargado de Compra: Unidad de Compras Operaciones: fono 612293389","Recepcion Conforme","Compra Agil","CLP",1127229,0,0,214173.51,1341402.51,856694.04,1127229,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","S P M INGENIERIA LIMITADA","77.695.880-8","REPARACION DE EQUIPO DE ELEVACION Y MANIPULACION| ACONDICIONAMIENTO DE EDIFICIOS| SERVICIOS DE INGENIERIA PRESTADOS POR EMPRESAS N.C.P.","4.0","Región de Magallanes y de la Antártica","Equipamiento para manejo y estiba de materiales","Maquinaria para manejo de materiales","Equipo de elevación",24101601,"Ascensores","Ascensores","SUMINISTRO DE FUENTE DE PODER PARA LUCES DE EMERGENCIA Y ALARMA DE ASCENSORES 10-12-16",3,"Unidad","CLP",145215,0,0,NA,435645,435645,"1057402-1063-COT24","[5074] SUMINISTRO DE REPUESTOS PARA MANTENIMIENTO ASCENSORES OTIS HCM","LA UNIDAD DE CONTROL CENTRALIZADO REQUIERE LA ADQUISICIÓN DEL SUMINISTRO DE REPUESTOS PARA EL MANTENIMIENTO DE LOS ASCENSORES DEL HOSPITAL, LOS CUALES SON ESENCIALES PARA LA ACREDITACIÓN DEL HOSPITAL Y CERTIFICACIÓN DE LOS EQUIPOS.  LOS REPUESTOS SE REQUIEREN CON PLAZO DE ENTREGA MÁXIMO 2 DÍAS.","18-07-2024 0:00:00","19-07-2024 0:00:00",1500000,"SUMINISTRO DE FUENTE DE PODER PARA LUCES DE EMERGENCIA Y ALARMA DE ASCENSORES 10-12-16",24101601,"Ascensores",3,"S P M INGENIERIA LIMITADA","77.695.880-8","Se adjuntan cotizaciones con detalle de los insumos considerados para la ejecución de los trabajos.",145215,435645,1127229,0,1341402,"SI"
"207","1057402-7750-AG24","30-07-2024 0:00:00","(5074) SUMINISTRO DE REPUESTOS PARA MANTENIMIENTO ASCENSORES. Compra ágil: 1057402-1063-COT24","De acuerdo a Solicitud de Compra N°239 de fecha 19-07-2024 de la Unidad de Control Centralizado, se requiere el suministro de repuestos y accesorios para el mantenimiento de ascensores  Encargado de Recepción Productos: Encargado de Bodega General: fono: 612293366 - correo alex.garay@redsalud.gov.cl  Horarios de Recepción Productos:  Lunes a Jueves: 8:00 a 16:30 horas. Viernes: 8:00 a 15:30 horas.  Dirección: Av. Los Flamencos 01364, Punta Arenas, Región de Magallanes y Antartica Chilena, Hospital Clínico Magallanes.  Consultas sobre reclamo/rechazo de facturas: Jefe Gestión DTE:  correo: dtereclamados.hcm@redsalud.gob.cl  Encargado de Compra: Unidad de Compras Operaciones: fono 612293389","Recepcion Conforme","Compra Agil","CLP",1127229,0,0,214173.51,1341402.51,856694.04,1127229,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","S P M INGENIERIA LIMITADA","77.695.880-8","REPARACION DE EQUIPO DE ELEVACION Y MANIPULACION| ACONDICIONAMIENTO DE EDIFICIOS| SERVICIOS DE INGENIERIA PRESTADOS POR EMPRESAS N.C.P.","4.0","Región de Magallanes y de la Antártica","Equipamiento para manejo y estiba de materiales","Maquinaria para manejo de materiales","Equipo de elevación",24101601,"Ascensores","Ascensores","SUMINISTRO BOTON DE PARADA PARA ASCENSOR 12",1,"Unidad","CLP",53200,0,0,NA,53200,53200,"1057402-1063-COT24","[5074] SUMINISTRO DE REPUESTOS PARA MANTENIMIENTO ASCENSORES OTIS HCM","LA UNIDAD DE CONTROL CENTRALIZADO REQUIERE LA ADQUISICIÓN DEL SUMINISTRO DE REPUESTOS PARA EL MANTENIMIENTO DE LOS ASCENSORES DEL HOSPITAL, LOS CUALES SON ESENCIALES PARA LA ACREDITACIÓN DEL HOSPITAL Y CERTIFICACIÓN DE LOS EQUIPOS.  LOS REPUESTOS SE REQUIEREN CON PLAZO DE ENTREGA MÁXIMO 2 DÍAS.","18-07-2024 0:00:00","19-07-2024 0:00:00",1500000,"SUMINISTRO BOTON DE PARADA PARA ASCENSOR 12",24101601,"Ascensores",1,"S P M INGENIERIA LIMITADA","77.695.880-8","Se adjuntan cotizaciones con detalle de los insumos considerados para la ejecución de los trabajos.",53200,53200,1127229,0,1341402,"SI"
"208","1057402-7248-AG24","12-07-2024 0:00:00","CTRAL.MEZCLAS/JUL.BATA-QUIR-REFOR(INS)","CTRAL.MEZCLAS/JUL.BATA-QUIR-REFOR(INS) FLETE TERRESTRE CARGO PROVEEDOR (7 DIAS) COT: 1057402-1015-COT24","Recepcion Conforme","Compra Agil","CLP",1250000,0,0,237500,1487500,237500,1250000,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","IMPORTADORA MEGA MARKET SPA","76.426.458-4","Distribucion","2.0","Región Metropolitana de Santiago","Equipamiento y suministros médicos","Vestuario clínico","Prendas textiles quirúrgicas",42131702,"Batas quirúrgicas","Batas quirúrgicas","225-7201-1 BUZO o BATA DESECHABLE ESTERIL PARA QUIMIOTERAPIA (TALLA M)",500,"Unidad","CLP",2500,0,0,NA,1250000,1250000,"1057402-1015-COT24","BUZO o BATA DESECHABLE  ESTERIL PARA QUIMIOTERAPIA (TALLA M)","BUZO o BATA DESECHABLE  ESTERIL PARA QUIMIOTERAPIA , de MATERIAL QUE NO DESPRENDA PARTICULAS , DE MANGAS LARGAS Y PUÑOS CEÑIDOS ELASTICADOS IMPERMEABLES, CON ABERTURA TRASERA , REFORZADA EN PARTE DELANTERA Y ANTEBRAZO, ANTIESTATICO, QUE IMPIDA PENETRACIÓN DE BACTERIAS Y PERMEABILIDAD DEL ANTINEOPLASICO..TALLA M SE REQUIERE ADJUNTAR FICHA TÉCNICA.","04-07-2024 0:00:00","05-07-2024 0:00:00",1950000,"BUZO o BATA DESECHABLE ESTERIL PARA QUIMIOTERAPIA (TALLA M)",42131702,"Batas quirúrgicas",500,"IMPORTADORA MEGA MARKET SPA","76.426.458-4","Delantal Quirúrgico Reforzado M. Marca SURGICALL Se adjunta ficha técnica. Se cotiza precio por Unidad. Contenido por caja 20 ud. Despacho 7 días hábiles, flete incluido.",2500,1250000,1250000,0,1487500,"SI"
"209","1057402-6860-AG24","15-07-2024 0:00:00","(5074) Adquisición de Cables de fibra óptica de 1 metro para uso con dispositivos o equipos de comunicaciones. Compra ágil: 1057402-960-COT24","COMPRA ÁGIL, Según Solicitud de compra 218, de 18-06-2024, de la SDO, por la adquisición de Cables de fibra óptica de 1 metro para uso con dispositivos o equipos de comunicaciones, para dpto. de informática.   Orden de Compra código: 1057402-6860-AG24 dirigida a PUNTOBAT SPA  Encargado Técnico: Jefe Departamento Informatica: fono: 612293011 - correo: angelica.oyarzun@redsalud.gob.cl  Encargado de Recepción Productos: Encargado de Bodega General: fono: 612293366 - correo: alex.garay@redsalud.gob.cl  Horarios de Recepción Productos:  Lunes a Jueves: 8:00 a 16:30 horas. Viernes: 8:00 a 15:30 horas.  Dirección: Av. Los Flamencos 01364, Punta Arenas.  Consultas sobre reclamo/rechazo de facturas: Jefe Gestión DTE: fono: 612453660 - correo: frank.silva@redsalud.gob.cl  Encargado de Compra: Jefe Unidad de Compra Operaciones: fono 612293243 - correo: francisco.aguilar@redsalud.gob.cl","Recepcion Conforme","Compra Agil","CLP",58800,0,0,11172,69972,11172,58800,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","OTROS GRD","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","PUNTOBAT SPA","76.175.712-1","VENTAS AL POR MENOR DE OTROS PRODUCTOS EN ALMACENES ESPECIALIZADOS N.C| EMPRESAS DE SERVICIOS INTEGRALES DE INFORMATICA| SERVICIOS DE INGENIERIA PRESTADOS POR EMPRESAS N.C.P.","2.0","Región Metropolitana de Santiago","Maquinaria para generación y distribución de energía","Alambres y cables eléctricos y electrónicos","Cables eléctricos y accesorios",26121607,"Cable de fibra óptica","Cable de fibra óptica","Cable de fibra óptica de 1 metro.",20,"Unidad","CLP",2940,0,0,NA,58800,58800,"1057402-960-COT24","(5074) Cables de fibra óptica de 1 metro para uso con dispositivos o equipos de comunicaciones.","El Hospital requiere comprar 20 cables de fibra óptica de 1 metro para uso con dispositivos o equipos de comunicaciones. Se adjuntan imágenes de referencia.   NOTA: FLETE A CARGO DEL PROVEEDOR HASTA EL DOMICILIO DEL HOSPITAL.   Los oferentes DEBERAN adjuntar ficha técnica y/o imagen del producto ofertado, adjuntar cotización, indicar plazos de entrega.  Adjuntar datos contacto y datos bancarios para pago en formulario adjunto.","19-06-2024 0:00:00","24-06-2024 0:00:00",70000,"Cable de fibra óptica de 1 metro.",26121607,"Cable de fibra óptica",20,"PUNTOBAT SPA","76.175.712-1","Producto solicitado, despacho incluido. Plazo entrega: 5 dias hábiles una vez emitida OC",2940,58800,58800,0,69972,"SI"
"210","1057402-7750-AG24","30-07-2024 0:00:00","(5074) SUMINISTRO DE REPUESTOS PARA MANTENIMIENTO ASCENSORES. Compra ágil: 1057402-1063-COT24","De acuerdo a Solicitud de Compra N°239 de fecha 19-07-2024 de la Unidad de Control Centralizado, se requiere el suministro de repuestos y accesorios para el mantenimiento de ascensores  Encargado de Recepción Productos: Encargado de Bodega General: fono: 612293366 - correo alex.garay@redsalud.gov.cl  Horarios de Recepción Productos:  Lunes a Jueves: 8:00 a 16:30 horas. Viernes: 8:00 a 15:30 horas.  Dirección: Av. Los Flamencos 01364, Punta Arenas, Región de Magallanes y Antartica Chilena, Hospital Clínico Magallanes.  Consultas sobre reclamo/rechazo de facturas: Jefe Gestión DTE:  correo: dtereclamados.hcm@redsalud.gob.cl  Encargado de Compra: Unidad de Compras Operaciones: fono 612293389","Recepcion Conforme","Compra Agil","CLP",1127229,0,0,214173.51,1341402.51,856694.04,1127229,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","S P M INGENIERIA LIMITADA","77.695.880-8","REPARACION DE EQUIPO DE ELEVACION Y MANIPULACION| ACONDICIONAMIENTO DE EDIFICIOS| SERVICIOS DE INGENIERIA PRESTADOS POR EMPRESAS N.C.P.","4.0","Región de Magallanes y de la Antártica","Equipamiento para manejo y estiba de materiales","Maquinaria para manejo de materiales","Equipo de elevación",24101601,"Ascensores","Ascensores","SUMINISTRO DE FUENTE DE PODER PARA LUCES DE EMERGENCIA Y ALARMA DE ASCENSORES 10-12-16",3,"Unidad","CLP",145215,0,0,NA,435645,435645,"1057402-1063-COT24","[5074] SUMINISTRO DE REPUESTOS PARA MANTENIMIENTO ASCENSORES OTIS HCM","LA UNIDAD DE CONTROL CENTRALIZADO REQUIERE LA ADQUISICIÓN DEL SUMINISTRO DE REPUESTOS PARA EL MANTENIMIENTO DE LOS ASCENSORES DEL HOSPITAL, LOS CUALES SON ESENCIALES PARA LA ACREDITACIÓN DEL HOSPITAL Y CERTIFICACIÓN DE LOS EQUIPOS.  LOS REPUESTOS SE REQUIEREN CON PLAZO DE ENTREGA MÁXIMO 2 DÍAS.","18-07-2024 0:00:00","19-07-2024 0:00:00",1500000,"SUMINISTRO DE SISTEMA DE ILUMINACIÓN CON LUZ LED PARA TABLEROS ELÉCTRICOS QUE CONECTA A LOS ASCENSORES N° 1-2-10-11-12-16-17",24101601,"Ascensores",7,"S P M INGENIERIA LIMITADA","77.695.880-8","Se adjuntan cotizaciones con detalle de los insumos considerados para la ejecución de los trabajos.",35912,251384,1127229,0,1341402,"SI"
"211","1057402-11789-AG24","10-12-2024 0:00:00","5076 Servicio de Examen CIntigrama Oseo","Orden de Compra generada por invitación a compra ágil desde ID  1057402-1472-COT24  dirigida a SOC PROFESIONAL SCANNER SUR LIMITADA. por el servicio de Cintigrama  Oseo, en beneficio de pacientes institucionales.","Recepcion Conforme","Compra Agil","CLP",1800000,0,0,0,1800000,0,1800000,"30 dias contra la recepcion conforme de la factura","Otra Forma de Despacho","","Bienes y Servicios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","SOC PROFESIONAL SCANNER SUR LIMITADA","79.747.000-7","HOSPITALES Y CLINICAS","2.0","Región de Magallanes y de la Antártica","Salud, servicios sanitarios y alimentación","Medicina y servicios de salud","Evaluaciones de salud individuales",85122201,"Exámenes médicos","Exámenes médicos","12 CINTIGRAMAS OSEOS EN LA CIUDAD DE PUNTA ARENAS",12,"Unidad","CLP",150000,0,0,NA,1800000,1800000,"1057402-1472-COT24","12 CINTIGRAMAS OSEOS EN LA CIUDAD DE PUNTA ARENAS","EL HOSPITAL CLINICO DE MAGALLANES REQUIERE LA COMPRA DE 12 CINTIGRAMAS OSEA EN LA CIUDAD DE PUNTA ARENAS EN BENEFICIO DE PACIENTES INSTITUCINALES.","05-12-2024 0:00:00","06-12-2024 0:00:00",1800000,"12 CINTIGRAMAS OSEOS EN LA CIUDAD DE PUNTA ARENAS",85122201,"Exámenes médicos",1,"SOC PROFESIONAL SCANNER SUR LIMITADA","79.747.000-7","Prestación 05.01.136 Cintigrafía Osea para pctes. del Hospital Clínico de Punta Arenas. Exámenes se toman en Av. Bulnes 01448, Punta Arenas (entrada por Kuzma Slavic, frente a cafetería), Scanner Sur cuenta con Autorizaciones y acreditación en Salud.",1800000,1800000,1800000,0,1800000,"SI"
"212","1058012-2875-AG24","09-12-2024 0:00:00","FARMACIA DOSIS UNITARIA DICIEMBRE / KETAMINA 500 MG 10 ML SOL INY FA","PEDIDO FARMACIA DOSIS UNITARIA DICIEMBRE. ADQUISICIÓN VÍA COMPRA ÁGIL. FLETE CARGO DEL PROVEEDOR. ZGEN 100000865. REF 1058012-662-COT24.","Recepcion Conforme","Compra Agil","CLP",257500,0,0,48925,306425,48925,257500,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Fármarcos","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","CRISTALIA CHILE SPA","77.542.429-K","","NoClasificado","Región Metropolitana de Santiago","Medicamentos y productos farmacéuticos","Medicamentos para el sistema nervioso central","Fármacos anestésicos, complementos relacionados y analépticos",51142934,"Clorhidrato de ketamina","Clorhidrato de ketamina","216-3100 KETAMINA SOL INY 500 MG/10 ML",25,"Frasco Ampolla","CLP",10300,0,0,NA,257500,257500,"1058012-662-COT24","KETAMINA SOL INY 500 MG/10 ML","EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE  KETAMINA SOL INY 500 MG/10 ML. INDICAR AL COTIZAR:  VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO,  ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE  TRASLADO y ESPECIFICAR FECHA DE ENTREGA,  INDICAR  SI CUENTA CON STOCK PARA DESPACHO INMEDIATO.  SE DESESTIMARÁ OFERTA QUE INDIQUE  VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.","28-11-2024 0:00:00","29-11-2024 0:00:00",3e+05,"KETAMINA SOL INY 500 MG/10 ML",51142934,"Clorhidrato de ketamina",25,"CRISTALIA CHILE SPA","77.542.429-K","-ESKETAMINA MARCA KETA-S 50MG/ML 25FA 10 ML POR LABORATORIO CRISTALIA (PRESENTACION 25 FRASCO AMPOLLA POR CAJA) VENCIMIENTO SUPERIOR A 12 MESES DISTRIBUCION DESDE 23-12-2024",10300,257500,257500,0,306425,"SI"
"213","1085944-4-AG24","15-07-2024 0:00:00","(MIS) PENDONES PROYECTO GORE","1085944-4-COT24  PENDONES DIFUSION PROYECTOS GORE ITEMS -1 PENDON PROYECTO N°1 CEM -2 PENDONES PROYECTO N°3 PdC -2 PENDONES PROYECTO N°4 CRPB -1 PENDON PROYECTO N°6 EPTR  FORMA DE PAGO CONTADO CONTRA RECEPCION CONFORME FACTURACION : EMITIR 1 FACTURA POR CADA ITEMS CONTACTO:612-293063","Recepcion Conforme","Compra Agil","CLP",272250,0,0,51727.5,323977.5,206910,272250,"Otro, Ver Instrucciones","Despachar a Dirección de envío","13733","Fondos Extrapresupuestarios","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","adrian maldonado solis, grabados y publicidad EIRL","76.475.078-0","grabados y publicidad","4.0","Región de Magallanes y de la Antártica","Servicios editoriales, de diseño, publicidad, gráficos y artistas","Publicidad","Publicidad impresa",82101502,"Publicidad en carteles","Publicidad en carteles","PENDÓN ROLLER 200*90CM (PROYECTO 1 CEM) IMPRESO FULL COLOR, TELA PVC, CON SU RESPECTIVO ATRIL Y BOLSO DE TRANSPORTE, SE ADJUNTA FORMATO DE REFERENCIA",1,"Unidad","CLP",45375,0,0,NA,45375,45375,"1085944-4-COT24","(MIS) PENDÓN ROLLER/GORE","6 UD PENDÓN ROLLER, DIMENSIÓN 200X90CM, IMPRESO FULL COLOR, TELA PVC, CON SU RESPECTIVO ATRIL Y BOLSO DE TRANSPORTE, SE ADJUNTAN FORMATOS DE REFERENCIA **ADJUNTAR COTIZACION CON CARACTERISTICA TECNICA DEL PRODUCTO **PLAZO ENTREGA 1 DÍA DESDE LA EMISIÓN DE LA OC **DISEÑOS ORIGINALES SERÁN ENVIADOS AL PROVEEDOR UNA VEZ EMITIDA LA OC. **VALOR ESTIMADO INCLUYE IVA Y FLETE.","11-07-2024 0:00:00","12-07-2024 0:00:00",360000,"PENDÓN ROLLER 200*90CM (PROYECTO 6 EPTR) IMPRESO FULL COLOR, TELA PVC, CON SU RESPECTIVO ATRIL Y BOLSO DE TRANSPORTE, SE ADJUNTA FORMATO DE REFERENCIA",82101502,"Publicidad en carteles",1,"adrian maldonado solis, grabados y publicidad EIRL","76.475.078-0","PLAZO ENTREGA 01 DIA HABIL",45375,45375,272250,0,323977,"SI"
"214","1058012-2919-AG24","10-12-2024 0:00:00","COMPRA ALTERNATIVA CONTROLADOS DICIEMBRE / METILFENIDATO 27 MG CM LIBERACION PROLONGADA","COMPRA ALTERNATIVA POR FALTA DE STOCK EN PROVEEDOR OC N° 1058012-2804-SE24. ADQUISICIÓN VÍA COMPRA ÁGIL. FLETE 7 DÍAS SEGÚN COTIZACIÓN. ZGEN 100006138. REF 1058012-665-COT24.","Aceptada","Compra Agil","CLP",337680,0,0,64159.2,401839.2,64159.2,337680,"30 dias contra la recepcion conforme de la factura","Despachar a Dirección de envío","","Fármarcos","61.607.901-8","Region de Magallanes y de la Antartica",7297,"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA","SALUD","SCM PHARMA SPA","77.337.544-5","VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES","2.0","Región Metropolitana de Santiago","Medicamentos y productos farmacéuticos","Medicamentos para el sistema nervioso central","Estimulantes / anoréxicos",51142618,"Clorhidrato de metilfenidato","Clorhidrato de metilfenidato","212-1088 METILFENIDATO 27 MG CM LIBERACION PROLONGADA",120,"Comprimido","CLP",2814,0,0,NA,337680,337680,"1058012-665-COT24","COMPRA ALTERNATIVA CONTROLADOS DICIEMBRE / METILFENIDATO 27 MG CM LIBERACION PROLONGADA","EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE METILFENIDATO 27 MG CM LIBERACION PROLONGADA. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (CM), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO CARGO PROVEEDOR (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN Y DOCUMENTOS SOLICITADOS.","04-12-2024 0:00:00","05-12-2024 0:00:00",150000,"METILFENIDATO 27 MG CM LIBERACION PROLONGADA",51142618,"Clorhidrato de metilfenidato",120,"SCM PHARMA SPA","77.337.544-5","Se adjunta cotización detallada, Contacto F. 225104550, contacto@scmpharma.cl, Despacho sin costo, Envio en : 7 dias - monto mínimo de despacho $ 100.000.-  Cotización valida  por 15 días.",2814,337680,337680,0,401839,"SI"
