codigoOC,FechaEnvioOC,NombreOC,DescripcionOC,MontoNetoOC,DescuentosOC,CargosOC,ImpuestosOC,MontoTotalOC,UnidadCompra,Proveedor,ProveedorRUT,ActividadProveedor,TamanoProveedor,RegionProveedor,CodigoProductoONU,DescripcionItem,CantidadItem,UnidadMedida,MontoNetoItem,MontoTotalItem,CodigoCotizacion,DescripcionCotizacion,CodigoProductoCotizadoONU,RUTProveedorCotizacion,DetalleCotizacion
1058012-96-AG25,1/9/2025,COMITÉ FARMACIA/ AMBRISENTÁN 10 MG CM,PEDIDO COMITÉ FARMACIA. COMPRA AGIL DESPACHO CARGO DEL PROVEEDOR. 1058012-11-COT25,$762.750,000,000,144923,907673,Fármarcos,EMCURE PHARMA CHILE SPA,77.240.238-4,"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS MEDICINALE",Mediana,Región Metropolitana de Santiago,51161626,AMBRISENTAM 10 MG CM,90,Comprimido,8.475,762750,1058012-11-COT25,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE AMBRISENTAM 10 MG CM. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51161626,77.240.238-4,"ARISEON COMPRIMIDOS RECUBIERTOS 10 mg (AMBRISENTÁN), caja x 30, Registro ISP: F-27488, vencimiento 30-09-2027 Stock disponible, entrega en 3 días. Flete Incluido. Datos de contacto en cotización adjunta."
1058012-1243-AG24,28/5/2024,COMITÉ FARMACIA MAYO / CIANOCOBALAMINA 50 MCG 5 ML JBE,"PEDIDO COMITÉ FARMACIA MAYO. ADQUISICIÓN VÍA COMPRA ÁGIL. FLETE CARGO DEL PROVEEDOR. DESPACHO PARCIALIZADO, 30 FRASCOS AL ACEPTAR OC, 30 FRASCOS RESTANTES SERAN COORDINADAS POR D. RODRIGO BARRIA (CORREO rodrigo.barria.hcm@gmail.com - FONO 61-2293466.) REF 1058012-368-COT24. COMITÉ FARMACIA N°4 DEL 29-04-2024.",$465.960,000,000,88532,554492,Fármarcos,DROGUERIA GLOBAL PHARMA SPA,76.389.383-9,FARMACIA Y PERFUMERIA,Grande,Región Metropolitana de Santiago,85121902,CIANOCOBALAMINA 50 MCG 5 ML JBE,60,Frasco,7.766,465960,1058012-368-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE CIANOCOBALAMINA 50 MCG 5 ML JBE. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO CARGO PROVEEDOR, SE SOLICITARAN DESPACHOS PARCIALIZADOS SEGÚN SOLICITUDES DEL HOSPITAL. (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓ",85121902,76.389.383-9,"66661104 TOL-12 ORAL SOLUCION ORAL 250 ML (CIANOCOBALAMINA+PIRIDOXINA+TIAMINA) LAB SAVAL ABR-2027 DROGUERÍA GLOBAL PHARMA SPA POSEE TRANSPORTE FDEX/TNT/STARKEN ENTREGA EN 12 DÍAS HÁBILES, MÍNIMO DE COMPRA $30.000 MÁS IVA. INFO AESCOBEDO@GLOBAL-PHARMA.CL"
1057402-5711-AG24,6/7/2024,(FAR) SUEROS Y ALCOHOLES JUNIO / ALCOHOL ETILICO 99° ML,PEDIDO SUEROS Y ALCOHOLES JUNIO. ADQUISICIÓN VÍA COMPRA ÁGIL. FLETE CARGO DEL PROVEEDOR. REF 1057402-857-COT24.,$1.327.500,000,000,252225,1579725,Bienes y Servicios,VERDEJO Y VERDEJO LIMITADA,79.591.440-4,VENTAS AL POR MENOR DE OTROS PRODUCTOS EN ALMACENES ESPECIALIZADOS N.C,Pequeña,Región Metropolitana de Santiago,42281711,"ALCOHOL ABSOLUTO = 99° PA, BIDON 2,5 LITROS.",180,Bidón,7.375,1327500,1057402-857-COT24,"SE REQUIERE PARA EL HOSPITAL CLÍNICO DE MAGALLANES ALCOHOL ETILICO 99° 2,5 LT. INDICAR: VALOR UNITARIO, PRESENTACIÓN Y EMPAQUE (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, IMAGEN DEL PRODUCTO, TIEMPO DE ENTREGA (ESPECIFICAR, PARA COORDINAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. NO SE CONSIDERARÁN OFERTAS QUE INDIQUEN VALOR REFERENCIAL $0 Ó $1 U OMITAN INFORMACIÓN.",42281711,79.591.440-4,"Alcohol Etílico Anhidro 99,5º"
1058012-7821-AG25,24/7/2025,FARMACIA DU JULIO / MIVACUORIO 10MG/5ML AM,FARMACIA DU JULIO ADQUISICION A TRAVES DE COMPRA AGIL DESPACHO 24 A 48 HORAS CARGO DEL PROVEEDOR REF: 1058012-460-COT25,$423.540,000,000,80473,504013,Fármarcos,ASPEN CHILE S.A.,76.328.242-2,"Venta de Productos y Subproductos Farmacéuticos, medicinales y nutricionales",Grande,Región Metropolitana de Santiago,51152002,MIVACUORIO 10MG/5ML AM,60,Ampolla,7.059,423540,1058012-460-COT25,"EL HCM REQUIERE MIVACUORIO 10ML/5ML AM. INDICAR FECHA DE ENTREGA EN BODEGA HCM, FACTOR EMPAQUE, FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO. POSTULAR SOLO SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. COMPRA SUJETA A MULTA DE NO RESPETAR FECHA ESTIMADA DE ENTREGA. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $1, O QUE SOBREPASE EL VALOR DEL MONTO ESTIMADO O NO CUMPLA CON LOS DIAS Y DOC. SOLICITADOS.",51152002,76.328.242-2,"MIVACRON SOL.INY.10 mg5 ml (Mivacurio Cloruro).Reg.ISP:F-2658722. PROVEEDOR UNICO.Fabricante:ASPEN SA STERILE OPERATIONS PTY LTD , Sudráfica. Presentación:Caja x 5 amp.Producto Refrigerado.VCTO:10.2027. M.mínimo$100.000+IVA.Entrega 48 hr hábiles"
1058012-8344-AG25,17/9/2025,FARMACIA AMBULATORIA SEPTIEMBRE / LUBRICANTE OCULAR QUE CONTENGA CARBOMERO,PEDIDO FARMACIA AMBULATORIA SEPTIEMBRE. ADQUISICIÓN VÍA COMPRA ÁGIL. DESPACHO E DÍAS CARGO DEL PROVEEDOR. REF 1058012-553-COT25.,$2.429.700,000,000,461643,2891343,Fármarcos,THEA PHARMA SPA,76.692.953-2,Venta al por mayor de otros productos N.C.P.,Grande,Región Metropolitana de Santiago,51241120,"LUBRICANTE OCULAR QUE CONTENGA CARBOMERO (0,2-0,25,0,3 GR / 100 GR) GEL",350,Tubo,6.942,2429700,1058012-553-COT25,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE LUBRICANTE OCULAR QUE CONTENGA CARBOMERO. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (TUBO), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO Y FECHA ESPECIFICA DE ENTREGA (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DECLARARÁ INADMISIBLE OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN Y DOCUMENTOS SOLICITADOS.",51241120,76.692.953-2,Siccafluid gel en gotas lubricantes oculares Frasco gotario por 10 gr.
1058012-2996-AG24,1/3/2025,COMITÉ FARMACIA/ OLANZAPINA 10 MG BUCODISPERSABLE,PEDIDO COMITÉ FARMACIA. COMPRA AGIL DESPACHO CARGO DEL PROVEEDOR. 1058012-674-COT24,$3.153.500,000,000,599165,3752665,Fármarcos,ADN FARMACEUTICA SPA,76.786.297-0,DROGUERIA,Mediana,Región Metropolitana de Santiago,51141703,OLANZAPINA 10 MG BUCODISPERSABLE,500,Comprimido,6.307,3153500,1058012-674-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE OLANZAPINA 10 MG BUCODISPERSABLE. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO y ESPECIFICAR FECHA DE ENTREGA, INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51141703,76.786.297-0,"ZYPREXA ZYDIS COM.10MG. CX14, COSTO FLETE INCLUIDO, DESPACHO DE 24 A 48 HORAS, UNA VEZ ACEPTADA LA ORDEN DE COMPRA, SIN MÍNIMO DE FACTURACIÓN, VENCE SUPERIOR A 12 MESES (PV) pvalencia@adnfarmaceutica.cl"
1058012-2049-AG24,27/8/2024,COMPRA ALTERNATIVA FALTA CENABAST/ REMIFENTANILO CLORHIDRATO 1 MG FA,COMPRA ALTERNATIVA POR FALTA DE STOCK EN PROVEEDOR DE N° ORDEN 1058012-1955-SE24. ADQUISICIÓN VÍA COMPRA ÁGIL. TRASLADO CARGO AL PROVEEDOR ZGEN (100001243) REF 1058012-538-COT24,$123.080,000,000,23385,146465,Fármarcos,ASPEN CHILE S.A.,76.328.242-2,"Venta de Productos y Subproductos Farmacéuticos, medicinales y nutricionales",Grande,Región Metropolitana de Santiago,51142232,REMIFENTANILO CLORHIDRATO 1 MG FA,20,Frasco Ampolla,6.154,123080,1058012-538-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE REMIFENTANILO CLORHIDRATO 1 MG FA. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO y ESPECIFICAR FECHA DE ENTREGA, INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51142232,76.328.242-2,"ULTIVA POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE 1 mg. (remifentanilo). PRODUCTO ORIGINAL. REG ISP: F-309/23. Presentación: Caja x 5 amp. Procedencia: Glaxosmithkline Manufacturing S.P.A., Italia. Vcto.: 11.2024. M.mínimo $100.000+IVA entrega 48 hr hábil"
1058012-881-AG24,17/4/2024,"FALTA CENABAST ABRIL / TIMOLOL MALEATO 0,5% SOLUC OFT",PEDIDO FALTA DISTRIBUCIÓN CENABAST ABRIL. ADQUISICIÓN VÍA COMPRA ÁGIL. FLETE CARGO DEL PROVEEDOR. REF 1058012-278-COT24.,$961.600,000,000,182704,1144304,Fármarcos,FARMACIAS PEDRO ITURRIETA MELENDEZ E.I.R.L.,76.764.759-K,,Pequeña,Región Metropolitana de Santiago,51241115,"TIMOLOL MALEATO 0,5% SOL OFT",160,Frasco,6.010,961600,1058012-278-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE TIMOLOL MALEATO 0,5% SOL OFT. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (FCO), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO CARGO PROVEEDOR (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51241115,76.764.759-K,"TIMOLOL COL 0,5% X 10 ML OPKO vence 7/24 despacho GRATIS 48 horas una vez aceptada la OC se adjunta ficha fono: 992657125"
1058012-2219-AG24,13/9/2024,"COMITÉ FARMACIA N° 6/ BIFIDOBACTERIUM, BB-12 PROBIOTICOS EN GOTAS: 1058012-557-COT24","PEDIDO COMITE FARMACIA N° 6 F. DOSIS UNITARIA. COMPRA AGIL DESPACHO TERRESTRE, CARGO DEL PROVEEDOR.",$120.000,000,000,22800,142800,Fármarcos,INSTITUTO SANITAS S A,90.073.000-4,"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS MEDICINALE",Grande,Región Metropolitana de Santiago,51191905,"BIFIDOBACTERIUM, BB-12 PROBIOTICOS EN GOTAS",20,Frasco,6.000,120000,1058012-557-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE BIFIDOBACTERIUM, BB-12 PROBIOTICOS EN GOTAS. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51191905,90.073.000-4,S-PT4154.PROBACILUS.(Lactobacillus Reuteri)VENCE: 18-04-2026. Resolucio´n Sanitaria: 2113290870 del 26/07/20. VALIDEZ OFERTA:30 DÍAS. MONTO MÍNIMO:$120.000+IVA. ENVÍO TERRESTRE.PLAZO DE ENTREGA:15 DIAS.SE PUEDE ACORDAR RETIRO AL CORREO:squezada@sanitas.cl
1058012-7476-AG25,17/6/2025,FARMACIA AMBULATORIA JUNIO / LACTOBACILLUS REUTERI PROTECTIS 5 ML,PEDIDO FARMACIA AMBULATORIA JUNIO. ADQUISICIÓN VÍA COMPRA ÁGIL. DESPACHO 10 DÍAS CARGO DEL PROVEEDOR SEGÚN COTIZACIÓN. NOTA: SE PUEDE COORDINAR RETIRO DE LA CARGA. REF 1058012-390-COT25.,$180.000,000,000,34200,214200,Fármarcos,INSTITUTO SANITAS S A,90.073.000-4,"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS MEDICINALE",Grande,Región Metropolitana de Santiago,51191905,LACTOBACILLUS REUTERI PROTECTIS 5 ML GOTAS,30,Frasco,6.000,180000,1058012-390-COT25,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE LACTOBACILLUS REUTERI PROTECTIS 5 ML. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO Y FECHA ESPECIFICA DE ENTREGA (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DECLARARÁ INADMISIBLE OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN Y DOCUMENTOS SOLICITADOS.",51191905,90.073.000-4,S-PT4154.PROBACILUS.POMO 5 ML.(Lactobacillus Reuteri)VENCE: 10-06-2026. Resolucio´n Sanitaria:2113290870 del 26/07/2021.VALIDEZ OFERTA:30 DÍAS.MONTO MÍNIMO:$120.000+IVA.PLAZO ENTREGA:10 DÍAS HÁBILES.PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESESARIO
1057402-9103-AG24,9/11/2024,(FAR) URGENTE ANTISEPTICOS Y DESINFENCTANTES SEPTIEMBRE / CLORHEXIDINA 2% ACUOSA TOPICA 500 ML,PEDIDO URGENTE ANTISEPTICOS Y DESINFENCTANTES SEPTIEMBRE. ADQUISICIÓN VÍA COMPRA ÁGIL. FLETE 12 A 15 DÍAS SEGÚN COTIZACIÓN. REF 1057402-1234-COT24.,$344.160,000,000,65390,409550,Bienes y Servicios,DIFEM LABORATORIOS S A,79.581.120-6,"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS MEDICINALE| FABRICACIONES DE JABONES Y DETERGENTES, PREPARADOS PARA LIMPIAR, PERFU",Grande,Región Metropolitana de Santiago,51102707,CLORHEXIDINA 2% ACUOSA TOPICA 500 ML,60,Frasco,5.736,344160,1057402-1234-COT24,"SE REQUIERE PARA EL HOSPITAL CLÍNICO DE MAGALLANES CLORHEXIDINA 2% ACUOSA TOPICA 500 ML. INDICAR: VALOR UNITARIO, PRESENTACIÓN Y EMPAQUE (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, IMAGEN DEL PRODUCTO, TIEMPO DE ENTREGA (ESPECIFICAR, PARA COORDINAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. NO SE CONSIDERARÁN OFERTAS QUE INDIQUEN VALOR REFERENCIAL $0 Ó $1 U OMITAN INFORMACIÓN Y DOCUMENTOS SOLICITADOS.",51102707,79.581.120-6,"Dichlorexan Solución Acuosa 2% 500cc. Marca DIFEM, procedencia nacional. Sin alcohol, para antisepsia de piel. Registro ISP. Estudio microb según resolución 89. Con inserto dosificador. Cajas x 20 unidades. Vencimiento 25-01-2026. Despacho 12-15 días."
1058012-1706-AG24,7/8/2024,FARMACIA DOSIS UNITARIA/ VITAMINAS HIDROSUBLES USO IV INFANTIL - ADULTO (QUE CONTENGA 9 VITAMINAS HIDROSOLUBLES),PEDIDO FARMACIA DOSIS UNITARIA. COMPRA AGIL DESPACHO AÉREO CARGO DEL PROVEEDOR. 1058012-487-COT24,$1.581.440,000,000,300474,1881914,Fármarcos,FRESENIUS KABI CHILE LIMITADA,77.478.120-k,"VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| TRANSPORTE DE CARGA POR CARRETERA| EMPRESAS DE ASESORIA, CONSULTORIA FINANCIERA Y DE APOYO AL GIRO",Grande,Región Metropolitana de Santiago,51191905,VITAMINAS HIDROSUBLES USO IV INFANTIL - ADULTO (QUE CONTENGA 9 VITAMINAS HIDROSOLUBLES),280,Unidad,5.648,1581440,1058012-487-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE VITAMINAS HIDROSUBLES USO IV INFANTIL - ADULTO (QUE CONTENGA 9 VITAMINAS HIDROSOLUBLES). INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO y ESPECIFICAR FECHA DE ENTREGA, INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51191905,77.478.120-k,"Cotización 20168464 , despacho en cajas cerradas, según factor de empaque. Despacho mínimo $200.000.- Oferta incluye despacho."
1058012-2581-AG24,11/5/2024,FARMACIA DOSIS UNITARIA Y CENTRAL DE MEZCLAS/ VITAMINAS HIDROSUBLES USO IV INFANTIL - ADULTO (QUE CONTENGA 9 VITAMINAS HIDROSOLUBLES),PEDIDO FARMACIA DOSIS UNITARIA Y CENTRAL DE MEZCLAS. ID COMPRA AGIL DESPACHO AÉREO CARGO DEL PROVEEDOR. 1058012-613-COT24,$564.700,000,000,107293,671993,Fármarcos,FRESENIUS KABI CHILE LIMITADA,77.478.120-k,"VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| TRANSPORTE DE CARGA POR CARRETERA| EMPRESAS DE ASESORIA, CONSULTORIA FINANCIERA Y DE APOYO AL GIRO",Grande,Región Metropolitana de Santiago,51191905,VITAMINAS HIDROSUBLES USO IV INFANTIL - ADULTO (QUE CONTENGA 9 VITAMINAS HIDROSOLUBLES),100,Unidad,5.647,564700,1058012-613-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE VITAMINAS HIDROSUBLES USO IV INFANTIL - ADULTO (QUE CONTENGA 9 VITAMINAS HIDROSOLUBLES). INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO y ESPECIFICAR FECHA DE ENTREGA, INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51191905,77.478.120-k,"Cotización_0020172712, despacho en cajas cerradas, según factor de empaque. Despacho mínimo $200.000.-"
1058012-423-AG24,20/2/2024,"FALTA CENABAST FEBRERO / FLUTICASONA 27,5 MCG/DO SUSP. NAS.",PEDIDO FALTA DISTRIBUCIÓN CENABAST FEBRERO. ADQUISICIÓN VÍA COMPRA ÁGIL. FLETE EXPRESO CARGO DEL PROVEEDOR. ZGEN 100004353. REF 1058012-144-COT24.,$970.920,000,000,184475,1155395,Fármarcos,ETEX FARMACEUTICA LIMITADA,78.026.330-K,"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS MEDICINALE",Grande,Región Metropolitana de Santiago,51181722,"FLUTICASONA 27,5 MCG/DO SUSP. NAS.",180,Frasco,5.394,970920,1058012-144-COT24,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE FLUTICASONA 27,5 MCG/DO SUSP. NAS. INDICAR AL COTIZAR: VALOR UNITARIO TOTAL, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO CARGO PROVEEDOR (ESPECIFICAR, PARA ACORDAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, U OMITAN INFORMACIÓN.",51181722,78.026.330-K,"10000000068114 ALENYS Susp Nebulización Nasal 27,5 mcg x 120 dosis Fluticasona Furoato VENCIMIENTO:Mayor a 12 Meses - ISP:F-16784/23 - Con cert. GMP. Despacho 3 dias habiles. Monto minimo de despacho $250.000 netos."
1058012-6753-AG25,14/4/2025,FALTA CENABAST ABRIL/ ZIPRASIDONA 40 MG CP,PEDIDO FALTA CENABAST ABRIL. COMPRA AGIL DESPACHO CARGO DEL PROVEEDOR. 100001579 1058012-203-COT25,$303.540,000,000,57673,361213,Fármarcos,SCM PHARMA SPA,77.337.544-5,VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES,Mediana,Región Metropolitana de Santiago,51141725,ZIPRASIDONA 40 MG CP,60,Cápsula,5.059,303540,1058012-203-COT25,"EL HOSPITAL CLÍNICO DE MAGALLANES REQUIERE ZIPRASIDONA 40 MG CP. INDICAR AL COTIZAR: FECHA DE ENTREGA EN BODEGA DEL HCM, PRESENTACIÓN (ML), FECHA VCTO, ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, TIPO DE TRASLADO. POSTULAR SOLO SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. COMPRA SUJETA A MULTA POR NO RESPETAR FECHA ESTIMADA DE ENTREGA DE LA OC. SE DESESTIMARÁ OFERTA QUE INDIQUE VALOR REFERENCIAL $0 o $1, O NO CUMPLAN CON LO SOLICITADO. MOTIVO IPORTANTE PARA DEJAR FUERA UNA OFERTA ES S",51141725,77.337.544-5,"Se adjunta cotización detallada, Contacto F. 225104550, contacto@scmpharma.cl, Despacho sin costo, Envio 7 dias- monto mínimo de despacho $ 100.000.- Cotización valida por 15 días."
1057402-3005-AG24,25/3/2024,(FAR) SUEROS Y ALCOHOLES MARZO / ALCOHOL ISOPROPILICO LT,PEDIDO SUEROS Y ALCOHOLES MARZO. ADQUISICIÓN VÍA COMPRA ÁGIL. FLETE CARGO DEL PROVEEDOR. REF 1057402-462-COT24.,$242.500,000,55000,56525,354025,Bienes y Servicios,WINKLER LIMITADA,79.722.860-5,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS NO CLASIFICADOS EN OTRA PA| VENTA AL POR MAYOR DE PRODUCTOS QUIMICOS| VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.,Grande,Región Metropolitana de Santiago,12191601,ALCOHOL ISOPROPILICO LT. PUREZA x C.G 99.96% - HUMEDAD s/KF 0.019000% - P.ESPECIFICOS 20°C 0.7865 g/cc - ACIDEZ 0.0009% - COLOR APHA 3 - RANGO DESTILACION(°C) 81°-83°C - MAT.NO VOLATIL 0.4 m/g/100ml - ASPECTOS :LIQUIDO INCOLORO TRANSPARENTE.,50,Frasco,4.850,242500,1057402-462-COT24,"SE REQUIERE PARA EL HOSPITAL CLÍNICO DE MAGALLANES ALCOHOL ISOPROPILICO LT. INDICAR: VALOR UNITARIO, PRESENTACIÓN Y EMPAQUE (ML), FECHA VCTO (SUPERIOR 1 AÑO), ADJUNTAR FICHA TÉCNICA Y/O REGISTRO ISP, IMAGEN DEL PRODUCTO, TIEMPO DE ENTREGA (ESPECIFICAR, PARA COORDINAR RETIRO CARGO HOSPITAL DE SER NECESARIO), E INDICAR SI CUENTA CON STOCK PARA DESPACHO INMEDIATO. NO SE CONSIDERARÁN OFERTAS QUE INDIQUEN VALOR REFERENCIAL $0 Ó $1 U OMITAN INFORMACIÓN.",12191601,79.722.860-5,SE ADJUNTA COTIZACIÓN 495755. PLAZO ENTREGA 5 DÍAS HÁBILES FECHA RECEPCIÓN OC.
